,compare,snr,task,data type
138,mriqc,5.355008549030914,mriqc,snr
139,mriqc,5.518126267848038,mriqc,snr
140,mriqc,5.367476986914568,mriqc,snr
141,mriqc,4.799623490800397,mriqc,snr
142,mriqc,5.348876752933994,mriqc,snr
143,mriqc,4.731619282128796,mriqc,snr
144,mriqc,5.397978659285174,mriqc,snr
145,mriqc,5.2586532899783585,mriqc,snr
146,mriqc,5.317251656323597,mriqc,snr
147,mriqc,4.577529676558799,mriqc,snr
148,mriqc,4.503494875373824,mriqc,snr
149,mriqc,4.970146321224229,mriqc,snr
150,mriqc,4.830770912403761,mriqc,snr
151,mriqc,4.573230235164794,mriqc,snr
152,mriqc,4.822567826724071,mriqc,snr
153,mriqc,4.533144904030149,mriqc,snr
154,mriqc,4.951095339710318,mriqc,snr
155,mriqc,4.514354345630738,mriqc,snr
156,mriqc,4.923918180367322,mriqc,snr
157,mriqc,5.415149775282906,mriqc,snr
158,mriqc,4.692437198952669,mriqc,snr
159,mriqc,4.983245309679881,mriqc,snr
160,mriqc,4.645688635676742,mriqc,snr
161,mriqc,5.088839256226962,mriqc,snr
162,mriqc,5.243176944890654,mriqc,snr
163,mriqc,4.771645153633822,mriqc,snr
164,mriqc,5.219402019949268,mriqc,snr
165,mriqc,4.99259990301341,mriqc,snr
166,mriqc,5.084052590602999,mriqc,snr
167,mriqc,5.2687230287067175,mriqc,snr
168,mriqc,4.748511771269021,mriqc,snr
169,mriqc,4.830545096323887,mriqc,snr
170,mriqc,4.761592515509257,mriqc,snr
171,mriqc,4.882076309752579,mriqc,snr
172,mriqc,4.6526106544143,mriqc,snr
173,mriqc,4.874043349880377,mriqc,snr
174,mriqc,4.742736954220004,mriqc,snr
175,mriqc,4.776311693704517,mriqc,snr
176,mriqc,4.716035027611285,mriqc,snr
177,mriqc,5.281955171496504,mriqc,snr
178,mriqc,4.818621428293909,mriqc,snr
179,mriqc,5.266013298446125,mriqc,snr
180,mriqc,4.374872787263165,mriqc,snr
