,compare,tsnr,task,data type
127,mriqc,64.86783599853516,mriqc,tsnr
128,mriqc,62.467506408691406,mriqc,tsnr
129,mriqc,61.24467086791992,mriqc,tsnr
130,mriqc,60.70859909057617,mriqc,tsnr
131,mriqc,51.89576721191406,mriqc,tsnr
132,mriqc,64.52247619628906,mriqc,tsnr
133,mriqc,45.30965423583984,mriqc,tsnr
134,mriqc,46.11579513549805,mriqc,tsnr
135,mriqc,42.39073181152344,mriqc,tsnr
136,mriqc,41.23047637939453,mriqc,tsnr
137,mriqc,48.37511444091797,mriqc,tsnr
138,mriqc,60.41020584106445,mriqc,tsnr
139,mriqc,55.45806884765625,mriqc,tsnr
140,mriqc,56.3216667175293,mriqc,tsnr
141,mriqc,36.65180206298828,mriqc,tsnr
142,mriqc,60.37487030029297,mriqc,tsnr
143,mriqc,43.20367431640625,mriqc,tsnr
144,mriqc,53.01719665527344,mriqc,tsnr
145,mriqc,54.93262481689453,mriqc,tsnr
146,mriqc,52.12681579589844,mriqc,tsnr
147,mriqc,66.34761047363281,mriqc,tsnr
148,mriqc,65.90302276611328,mriqc,tsnr
149,mriqc,35.50080871582031,mriqc,tsnr
150,mriqc,43.549407958984375,mriqc,tsnr
151,mriqc,55.985931396484375,mriqc,tsnr
152,mriqc,51.8311767578125,mriqc,tsnr
153,mriqc,67.2264175415039,mriqc,tsnr
154,mriqc,53.77934265136719,mriqc,tsnr
155,mriqc,58.384857177734375,mriqc,tsnr
156,mriqc,48.369117736816406,mriqc,tsnr
157,mriqc,67.3551025390625,mriqc,tsnr
158,mriqc,53.494197845458984,mriqc,tsnr
159,mriqc,52.03003692626953,mriqc,tsnr
160,mriqc,63.54697799682617,mriqc,tsnr
161,mriqc,46.74953079223633,mriqc,tsnr
162,mriqc,73.36640167236328,mriqc,tsnr
163,mriqc,55.71522521972656,mriqc,tsnr
164,mriqc,70.23897552490234,mriqc,tsnr
165,mriqc,47.989627838134766,mriqc,tsnr
166,mriqc,70.17195129394531,mriqc,tsnr
167,mriqc,74.67999267578125,mriqc,tsnr
168,mriqc,64.37960815429688,mriqc,tsnr
169,mriqc,32.70958709716797,mriqc,tsnr
170,mriqc,52.46670913696289,mriqc,tsnr
171,mriqc,30.908203125,mriqc,tsnr
172,mriqc,46.87500762939453,mriqc,tsnr
173,mriqc,44.69718933105469,mriqc,tsnr
174,mriqc,49.4211311340332,mriqc,tsnr
175,mriqc,50.452884674072266,mriqc,tsnr
176,mriqc,55.88410186767578,mriqc,tsnr
177,mriqc,72.07815551757812,mriqc,tsnr
178,mriqc,32.095359802246094,mriqc,tsnr
179,mriqc,62.88951110839844,mriqc,tsnr
180,mriqc,52.536258697509766,mriqc,tsnr
181,mriqc,58.53014373779297,mriqc,tsnr
182,mriqc,53.19737243652344,mriqc,tsnr
183,mriqc,43.96995544433594,mriqc,tsnr
184,mriqc,50.39984893798828,mriqc,tsnr
185,mriqc,52.11661148071289,mriqc,tsnr
186,mriqc,54.89406967163086,mriqc,tsnr
