,variable,value
1399,R-IPL,5.0
1400,R-IPL,1.0
1401,R-IPL,
1402,R-IPL,5.0
1403,R-IPL,30.0
1404,R-IPL,5.0
1405,R-IPL,
1406,R-IPL,16.0
1407,R-IPL,
1408,R-IPL,50.0
1409,R-IPL,
1410,R-IPL,
1411,R-IPL,3.0
1412,R-IPL,1.0
1413,R-IPL,5.0
1414,R-IPL,
1415,R-IPL,
1416,R-IPL,
1417,R-IPL,
1418,R-IPL,2.0
1419,R-IPL,
1420,R-IPL,40.0
1421,R-IPL,
1422,R-IPL,1.0
1423,R-IPL,
1424,R-IPL,
1425,R-IPL,5.0
1426,R-IPL,25.0
1427,R-IPL,15.0
1428,R-IPL,
1429,R-IPL,5.0
1430,R-IPL,
1431,R-IPL,0.0
1432,R-IPL,5.0
1433,R-IPL,
1434,R-IPL,7.0
1435,R-IPL,4.0
1436,R-IPL,5.0
1437,R-IPL,15.0
1438,R-IPL,
1439,R-IPL,0.0
1440,R-IPL,30.0
1441,R-IPL,10.0
1442,R-IPL,20.0
1443,R-IPL,
1444,R-IPL,
1445,R-IPL,
1446,R-IPL,
1447,R-IPL,
1448,R-IPL,
1449,R-IPL,
1450,R-IPL,
1451,R-IPL,
1452,R-IPL,
1453,R-IPL,2.0
1454,R-IPL,7.0
1455,R-IPL,13.0
1456,R-IPL,
1457,R-IPL,
1458,R-IPL,5.0
1459,R-IPL,15.0
1460,R-IPL,0.0
1461,R-IPL,0.0
1462,R-IPL,10.0
1463,R-IPL,0.0
1464,R-IPL,1.0
1465,R-IPL,
1466,R-IPL,2.0
1467,R-IPL,4.0
1468,R-IPL,
1469,R-IPL,15.0
1470,R-IPL,35.0
1471,R-IPL,
1472,R-IPL,8.0
1473,R-IPL,5.0
1474,R-IPL,20.0
1475,R-IPL,20.0
1476,R-IPL,5.0
1477,R-IPL,5.0
1478,R-IPL,
1479,R-IPL,9.0
1480,R-IPL,10.0
1481,R-IPL,
1482,R-IPL,0.0
1483,R-IPL,
1484,R-IPL,10.0
1485,R-IPL,10.0
1486,R-IPL,
1487,R-IPL,
1488,R-IPL,15.0
1489,R-IPL,1.0
1490,R-IPL,3.0
1491,R-IPL,10.0
1492,R-IPL,0.0
1493,R-IPL,20.0
1494,R-IPL,
1495,R-IPL,0.0
1496,R-IPL,
1497,R-IPL,0.0
1498,R-IPL,
1499,R-IPL,40.0
1500,R-IPL,5.0
1501,R-IPL,5.0
1502,R-IPL,1.0
1503,R-IPL,0.0
1504,R-IPL,2.0
1505,R-IPL,
1506,R-IPL,2.0
1507,R-IPL,
1508,R-IPL,0.0
1509,R-IPL,10.0
1510,R-IPL,15.0
1511,R-IPL,5.0
1512,R-IPL,30.0
1513,R-IPL,5.0
1514,R-IPL,
1515,R-IPL,10.0
1516,R-IPL,
1517,R-IPL,3.0
1518,R-IPL,10.0
1519,R-IPL,
1520,R-M1,1.0
1521,R-M1,
1522,R-M1,50.0
1523,R-M1,
1524,R-M1,3.0
1525,R-M1,10.0
1526,R-M1,10.0
1527,R-M1,0.0
1528,R-M1,30.0
1529,R-M1,1.0
1530,R-M1,20.0
1531,R-M1,2.0
1532,R-M1,0.0
1533,R-M1,35.0
1534,R-M1,2.0
1535,R-M1,7.0
1536,R-M1,5.0
1537,R-M1,5.0
1538,R-M1,2.0
1539,R-M1,50.0
1540,R-M1,0.0
1541,R-M1,
1542,R-M1,10.0
1543,R-M1,2.0
1544,R-M1,5.0
1545,R-M1,1.0
1546,R-M1,1.0
1547,R-M1,5.0
1548,R-M1,
1549,R-M1,20.0
1550,R-M1,3.0
1551,R-M1,5.0
1552,R-M1,1.0
1553,R-M1,
1554,R-M1,7.0
1555,R-M1,20.0
1556,R-M1,5.0
1557,R-M1,10.0
1558,R-M1,15.0
1559,R-M1,5.0
1560,R-M1,40.0
1561,R-M1,10.0
1562,R-M1,5.0
1563,R-M1,3.0
1564,R-M1,3.0
1565,R-M1,5.0
1566,R-M1,5.0
1567,R-M1,0.0
1568,R-M1,
1569,R-M1,0.0
1570,R-M1,2.0
1571,R-M1,0.0
1572,R-M1,28.0
1573,R-M1,
1574,R-M1,5.0
1575,R-M1,4.0
1576,R-M1,10.0
1577,R-M1,
1578,R-M1,5.0
1579,R-M1,20.0
1580,R-M1,5.0
1581,R-M1,5.0
1582,R-M1,0.0
1583,R-M1,3.0
1584,R-M1,5.0
1585,R-M1,50.0
1586,R-M1,2.0
1587,R-M1,3.0
1588,R-M1,5.0
1589,R-M1,30.0
1590,R-M1,35.0
1591,R-M1,0.0
1592,R-M1,30.0
1593,R-M1,10.0
1594,R-M1,15.0
1595,R-M1,10.0
1596,R-M1,20.0
1597,R-M1,
1598,R-M1,
1599,R-M1,0.0
1600,R-M1,10.0
1601,R-M1,5.0
1602,R-M1,
1603,R-M1,1.0
1604,R-M1,5.0
1605,R-M1,0.0
1606,R-M1,2.0
1607,R-M1,2.0
1608,R-M1,15.0
1609,R-M1,1.0
1610,R-M1,5.0
1611,R-M1,5.0
1612,R-M1,0.0
1613,R-M1,1.0
1614,R-M1,10.0
1615,R-M1,0.0
1616,R-M1,1.0
1617,R-M1,10.0
1618,R-M1,0.0
1619,R-M1,7.0
1620,R-M1,10.0
1621,R-M1,
1622,R-M1,30.0
1623,R-M1,15.0
1624,R-M1,9.0
1625,R-M1,15.0
1626,R-M1,20.0
1627,R-M1,20.0
1628,R-M1,3.0
1629,R-M1,5.0
1630,R-M1,11.0
1631,R-M1,14.0
1632,R-M1,0.0
1633,R-M1,20.0
1634,R-M1,5.0
1635,R-M1,2.0
1636,R-M1,10.0
1637,R-M1,5.0
1638,R-M1,10.0
1639,R-M1,25.0
1640,R-M1,0.0
1641,R-M1,2.0
1642,R-M1,3.0
1643,R-M1,5.0
1644,R-M1,0.0
1645,R-M1,5.0
1646,R-M1,20.0
1647,R-M1,2.0
1648,R-M1,5.0
1649,R-M1,0.0
1650,R-M1,1.0
1651,R-M1,25.0
1652,R-M1,5.0
1653,R-M1,5.0
1654,R-M1,1.0
1655,R-M1,0.0
1656,R-M1,8.0
1657,R-M1,
1658,R-M1,2.0
1659,R-M1,
1660,R-M1,0.0
1661,R-M1,40.0
1662,R-M1,50.0
1663,R-M1,5.0
1664,R-M1,5.0
1665,R-M1,0.0
1666,R-M1,2.0
1667,R-M1,5.0
1668,R-M1,5.0
1669,R-M1,0.0
1670,R-M1,10.0
1671,R-M1,0.0
