,compare,aqi,task,data type
130,mriqc,0.0066470638333333,mriqc,aqi
131,mriqc,0.0125576492333333,mriqc,aqi
132,mriqc,0.0058774286666666,mriqc,aqi
133,mriqc,0.0133242966333333,mriqc,aqi
134,mriqc,0.0107836468666666,mriqc,aqi
135,mriqc,0.0130771967,mriqc,aqi
136,mriqc,0.0129953504,mriqc,aqi
137,mriqc,0.0097168448666666,mriqc,aqi
138,mriqc,0.0070468843,mriqc,aqi
139,mriqc,0.0108123990999999,mriqc,aqi
140,mriqc,0.0101038472333333,mriqc,aqi
141,mriqc,0.0179297039,mriqc,aqi
142,mriqc,0.0075841111,mriqc,aqi
143,mriqc,0.0135357287666666,mriqc,aqi
144,mriqc,0.0095836857666666,mriqc,aqi
145,mriqc,0.0085397306333333,mriqc,aqi
146,mriqc,0.0102571930666666,mriqc,aqi
147,mriqc,0.0059968506542056,mriqc,aqi
148,mriqc,0.0052610371028037,mriqc,aqi
149,mriqc,0.0235675311682243,mriqc,aqi
150,mriqc,0.0151882241121495,mriqc,aqi
151,mriqc,0.0084550324766355,mriqc,aqi
152,mriqc,0.0100334018691588,mriqc,aqi
153,mriqc,0.0054110241803278,mriqc,aqi
154,mriqc,0.0095695945901639,mriqc,aqi
155,mriqc,0.0073058103688524,mriqc,aqi
156,mriqc,0.0120527349590163,mriqc,aqi
157,mriqc,0.0076800959345794,mriqc,aqi
158,mriqc,0.0106253070093457,mriqc,aqi
159,mriqc,0.0098822855140186,mriqc,aqi
160,mriqc,0.0066714638785046,mriqc,aqi
161,mriqc,0.0141891767289719,mriqc,aqi
162,mriqc,0.0057895003738317,mriqc,aqi
163,mriqc,0.0080601210280373,mriqc,aqi
164,mriqc,0.0058280507476635,mriqc,aqi
165,mriqc,0.0108640403271028,mriqc,aqi
166,mriqc,0.0057970929439252,mriqc,aqi
167,mriqc,0.0053266415983606,mriqc,aqi
168,mriqc,0.0051904966822429,mriqc,aqi
169,mriqc,0.0265748825233644,mriqc,aqi
170,mriqc,0.0094592592056074,mriqc,aqi
171,mriqc,0.0278749450819672,mriqc,aqi
172,mriqc,0.0135314285981308,mriqc,aqi
173,mriqc,0.013083558224299,mriqc,aqi
174,mriqc,0.0104818508411214,mriqc,aqi
175,mriqc,0.0104091845327102,mriqc,aqi
176,mriqc,0.008726516588785,mriqc,aqi
177,mriqc,0.005686703114754,mriqc,aqi
178,mriqc,0.0248553560245901,mriqc,aqi
179,mriqc,0.0086080671962616,mriqc,aqi
180,mriqc,0.0092737689252336,mriqc,aqi
181,mriqc,0.0082438238785046,mriqc,aqi
182,mriqc,0.0093237897131147,mriqc,aqi
183,mriqc,0.0137137553278688,mriqc,aqi
184,mriqc,0.0110868039719626,mriqc,aqi
185,mriqc,0.0106064788785046,mriqc,aqi
186,mriqc,0.0082769574590163,mriqc,aqi
187,mriqc,0.0057437388095238,mriqc,aqi
188,mriqc,0.0126408755607476,mriqc,aqi
189,mriqc,0.0121674328037383,mriqc,aqi
190,mriqc,0.0098426486065573,mriqc,aqi
191,mriqc,0.0094524458878504,mriqc,aqi
192,mriqc,0.0078170750934579,mriqc,aqi
193,mriqc,0.01310732317757,mriqc,aqi
194,mriqc,0.0154012123770491,mriqc,aqi
195,mriqc,0.0118096446261682,mriqc,aqi
196,mriqc,0.015363169953271,mriqc,aqi
197,mriqc,0.0088917749047619,mriqc,aqi
198,mriqc,0.0117389639252336,mriqc,aqi
199,mriqc,0.0078314490186915,mriqc,aqi
200,mriqc,0.0067594789719626,mriqc,aqi
201,mriqc,0.0080166029439252,mriqc,aqi
202,mriqc,0.0059397209813084,mriqc,aqi
203,mriqc,0.0197900878037383,mriqc,aqi
204,mriqc,0.0203294736448598,mriqc,aqi
205,mriqc,0.0215003677570093,mriqc,aqi
206,mriqc,0.0091580878278688,mriqc,aqi
207,mriqc,0.0191545707009345,mriqc,aqi
208,mriqc,0.0104579145333333,mriqc,aqi
209,mriqc,0.0254504802336448,mriqc,aqi
210,mriqc,0.0083258209813084,mriqc,aqi
211,mriqc,0.0178044123364486,mriqc,aqi
212,mriqc,0.007892639262295,mriqc,aqi
213,mriqc,0.0055459235714285,mriqc,aqi
214,mriqc,0.0129691819158878,mriqc,aqi
215,mriqc,0.0083348864953271,mriqc,aqi
216,mriqc,0.0224570462295081,mriqc,aqi
217,mriqc,0.0190565758196721,mriqc,aqi
218,mriqc,0.0231525479918032,mriqc,aqi
219,mriqc,0.0107574033606557,mriqc,aqi
220,mriqc,0.0266058303278688,mriqc,aqi
221,mriqc,0.0233738136885245,mriqc,aqi
222,mriqc,0.0084510492990654,mriqc,aqi
223,mriqc,0.0120842522131147,mriqc,aqi
224,mriqc,0.0059549102419354,mriqc,aqi
225,mriqc,0.0084657193032786,mriqc,aqi
226,mriqc,0.0087316192380952,mriqc,aqi
227,mriqc,0.0173481142857142,mriqc,aqi
228,mriqc,0.0082032341393442,mriqc,aqi
