,compare,fd_mean,task,data type
118,mriqc,0.0621567353157832,mriqc,fd_mean
119,mriqc,0.0650111340275344,mriqc,fd_mean
120,mriqc,0.0926373618853724,mriqc,fd_mean
121,mriqc,0.0900527898039425,mriqc,fd_mean
122,mriqc,0.0674731613036813,mriqc,fd_mean
123,mriqc,0.0956721834954385,mriqc,fd_mean
124,mriqc,0.0564698893654455,mriqc,fd_mean
125,mriqc,0.1177826116397842,mriqc,fd_mean
126,mriqc,0.1034779464111878,mriqc,fd_mean
127,mriqc,0.1001869361283527,mriqc,fd_mean
128,mriqc,0.0546208787885221,mriqc,fd_mean
129,mriqc,0.0958141314005435,mriqc,fd_mean
130,mriqc,0.0636111008209787,mriqc,fd_mean
131,mriqc,0.0644393356094398,mriqc,fd_mean
132,mriqc,0.0507199639692887,mriqc,fd_mean
133,mriqc,0.1328823472668129,mriqc,fd_mean
134,mriqc,0.1851991618465909,mriqc,fd_mean
135,mriqc,0.1674985637033797,mriqc,fd_mean
136,mriqc,0.1607984344091098,mriqc,fd_mean
137,mriqc,0.128018043996055,mriqc,fd_mean
138,mriqc,0.070218104430134,mriqc,fd_mean
139,mriqc,0.2000962514554216,mriqc,fd_mean
140,mriqc,0.2289756472736591,mriqc,fd_mean
141,mriqc,0.0939943724494945,mriqc,fd_mean
142,mriqc,0.0922301669229015,mriqc,fd_mean
143,mriqc,0.1103180865275364,mriqc,fd_mean
144,mriqc,0.1015654039646768,mriqc,fd_mean
145,mriqc,0.1082794404491296,mriqc,fd_mean
146,mriqc,0.1033925253013156,mriqc,fd_mean
147,mriqc,0.1379868062624111,mriqc,fd_mean
148,mriqc,0.1288273341585999,mriqc,fd_mean
149,mriqc,0.2830396512599757,mriqc,fd_mean
150,mriqc,0.1718531568943142,mriqc,fd_mean
151,mriqc,0.1383512053634819,mriqc,fd_mean
152,mriqc,0.1514607054614202,mriqc,fd_mean
153,mriqc,0.1364293733368575,mriqc,fd_mean
154,mriqc,0.1513401369802913,mriqc,fd_mean
155,mriqc,0.1365867745325524,mriqc,fd_mean
156,mriqc,0.1523890317979456,mriqc,fd_mean
157,mriqc,0.1308972353776332,mriqc,fd_mean
158,mriqc,0.1502766950706468,mriqc,fd_mean
159,mriqc,0.2385312567781524,mriqc,fd_mean
160,mriqc,0.0947168181523716,mriqc,fd_mean
161,mriqc,0.1704466500255599,mriqc,fd_mean
162,mriqc,0.1069503508626562,mriqc,fd_mean
163,mriqc,0.1514490110822492,mriqc,fd_mean
164,mriqc,0.1121940558665883,mriqc,fd_mean
165,mriqc,0.2929479096046176,mriqc,fd_mean
166,mriqc,0.0869856138166469,mriqc,fd_mean
167,mriqc,0.1045434303954816,mriqc,fd_mean
168,mriqc,0.1158863822803051,mriqc,fd_mean
169,mriqc,0.189137604179151,mriqc,fd_mean
170,mriqc,0.1580302395129367,mriqc,fd_mean
171,mriqc,0.2064007401933103,mriqc,fd_mean
172,mriqc,0.1494929649730759,mriqc,fd_mean
173,mriqc,0.1798110297295433,mriqc,fd_mean
174,mriqc,0.207958185636832,mriqc,fd_mean
175,mriqc,0.16215716728363,mriqc,fd_mean
176,mriqc,0.1040081307213993,mriqc,fd_mean
177,mriqc,0.1090062488878314,mriqc,fd_mean
178,mriqc,0.2212577951937764,mriqc,fd_mean
179,mriqc,0.1278762794108812,mriqc,fd_mean
180,mriqc,0.2009719201532762,mriqc,fd_mean
181,mriqc,0.130980759564225,mriqc,fd_mean
182,mriqc,0.247729254786691,mriqc,fd_mean
183,mriqc,0.3274158019501015,mriqc,fd_mean
184,mriqc,0.1770457112826977,mriqc,fd_mean
185,mriqc,0.2333089674380741,mriqc,fd_mean
186,mriqc,0.1565346897146398,mriqc,fd_mean
187,mriqc,0.0991937353895207,mriqc,fd_mean
188,mriqc,0.1348882906739524,mriqc,fd_mean
189,mriqc,0.2226177220679299,mriqc,fd_mean
190,mriqc,0.1078713526192479,mriqc,fd_mean
191,mriqc,0.1908727298971618,mriqc,fd_mean
192,mriqc,0.1916809106461667,mriqc,fd_mean
193,mriqc,0.1600047393168628,mriqc,fd_mean
194,mriqc,0.2952424609823652,mriqc,fd_mean
195,mriqc,0.1891983207787917,mriqc,fd_mean
196,mriqc,0.4262441507640944,mriqc,fd_mean
197,mriqc,0.1084661832808033,mriqc,fd_mean
198,mriqc,0.3134866124699692,mriqc,fd_mean
199,mriqc,0.1946637837272387,mriqc,fd_mean
200,mriqc,0.1078044176508083,mriqc,fd_mean
201,mriqc,0.1476046921613233,mriqc,fd_mean
202,mriqc,0.1007126960070573,mriqc,fd_mean
203,mriqc,0.3821071289296575,mriqc,fd_mean
204,mriqc,0.2928582420200344,mriqc,fd_mean
205,mriqc,0.2664294048036771,mriqc,fd_mean
206,mriqc,0.1510471094981702,mriqc,fd_mean
207,mriqc,0.2847081526774173,mriqc,fd_mean
208,mriqc,0.2018276642655567,mriqc,fd_mean
209,mriqc,0.3592431642090933,mriqc,fd_mean
210,mriqc,0.2425430016772036,mriqc,fd_mean
211,mriqc,0.2057009602764281,mriqc,fd_mean
212,mriqc,0.1528474239192771,mriqc,fd_mean
213,mriqc,0.0867140400946886,mriqc,fd_mean
214,mriqc,0.1548942052455545,mriqc,fd_mean
215,mriqc,0.1177444682411205,mriqc,fd_mean
216,mriqc,0.2385225879921406,mriqc,fd_mean
217,mriqc,0.3356035993192393,mriqc,fd_mean
218,mriqc,0.2808988053859537,mriqc,fd_mean
219,mriqc,0.2018122900007863,mriqc,fd_mean
220,mriqc,0.2238129545671733,mriqc,fd_mean
221,mriqc,0.5420758848571622,mriqc,fd_mean
222,mriqc,0.1548437737252437,mriqc,fd_mean
223,mriqc,0.2104160719879968,mriqc,fd_mean
224,mriqc,0.2002606317828269,mriqc,fd_mean
225,mriqc,0.1824567673764048,mriqc,fd_mean
226,mriqc,0.0891405458483837,mriqc,fd_mean
227,mriqc,0.3846547972664759,mriqc,fd_mean
228,mriqc,0.2357849747578469,mriqc,fd_mean
229,mriqc,0.1422080591609076,mriqc,fd_mean
230,mriqc,0.0984712704141277,mriqc,fd_mean
231,mriqc,0.0904128851411074,mriqc,fd_mean
232,mriqc,0.1618316761493143,mriqc,fd_mean
233,mriqc,0.1947048546283599,mriqc,fd_mean
234,mriqc,0.266442960854965,mriqc,fd_mean
235,mriqc,0.1381320887947936,mriqc,fd_mean
236,mriqc,0.1665631354282689,mriqc,fd_mean
237,mriqc,0.1968928596531016,mriqc,fd_mean
238,mriqc,0.2679503378400338,mriqc,fd_mean
239,mriqc,0.1065032890398226,mriqc,fd_mean
240,mriqc,0.1846441134217525,mriqc,fd_mean
241,mriqc,0.5062210364464915,mriqc,fd_mean
242,mriqc,0.2194967792209114,mriqc,fd_mean
243,mriqc,0.261643790185819,mriqc,fd_mean
244,mriqc,0.1835221301954474,mriqc,fd_mean
245,mriqc,0.1506252323916659,mriqc,fd_mean
246,mriqc,0.0918204228570191,mriqc,fd_mean
247,mriqc,0.166100208150792,mriqc,fd_mean
248,mriqc,0.2088792449263738,mriqc,fd_mean
249,mriqc,0.1554348247066963,mriqc,fd_mean
250,mriqc,0.2132926368982111,mriqc,fd_mean
251,mriqc,0.3452882750680561,mriqc,fd_mean
252,mriqc,0.6276478836630766,mriqc,fd_mean
253,mriqc,0.1631720782569355,mriqc,fd_mean
254,mriqc,0.1013192585690963,mriqc,fd_mean
255,mriqc,0.1254968147794092,mriqc,fd_mean
256,mriqc,0.3103448271226817,mriqc,fd_mean
257,mriqc,0.2064595887269176,mriqc,fd_mean
258,mriqc,0.2206759385420782,mriqc,fd_mean
259,mriqc,0.4235174312731657,mriqc,fd_mean
260,mriqc,0.3047386018066749,mriqc,fd_mean
261,mriqc,0.4804887090672876,mriqc,fd_mean
262,mriqc,0.2365758106321243,mriqc,fd_mean
263,mriqc,0.1133235371656087,mriqc,fd_mean
264,mriqc,0.1419196809352177,mriqc,fd_mean
265,mriqc,0.1970921190527754,mriqc,fd_mean
266,mriqc,0.4413587696187969,mriqc,fd_mean
267,mriqc,0.2113407641564735,mriqc,fd_mean
268,mriqc,0.3879621015985531,mriqc,fd_mean
269,mriqc,0.3875860201445442,mriqc,fd_mean
270,mriqc,0.1180291778100548,mriqc,fd_mean
271,mriqc,0.1600035837908348,mriqc,fd_mean
272,mriqc,0.3354238681472888,mriqc,fd_mean
273,mriqc,0.3370466623193655,mriqc,fd_mean
274,mriqc,0.14910567158626,mriqc,fd_mean
275,mriqc,0.0972784205716037,mriqc,fd_mean
276,mriqc,0.0989939900559959,mriqc,fd_mean
277,mriqc,0.1417631659425513,mriqc,fd_mean
278,mriqc,0.2023553324473474,mriqc,fd_mean
279,mriqc,0.1925450312063575,mriqc,fd_mean
280,mriqc,0.1431583345348077,mriqc,fd_mean
281,mriqc,0.111617041149658,mriqc,fd_mean
282,mriqc,0.1962067911418646,mriqc,fd_mean
283,mriqc,0.1016626082594349,mriqc,fd_mean
284,mriqc,0.1982208215640371,mriqc,fd_mean
285,mriqc,0.0826857929141619,mriqc,fd_mean
286,mriqc,0.3633046676861594,mriqc,fd_mean
287,mriqc,0.1238466495116713,mriqc,fd_mean
288,mriqc,0.0855042933272548,mriqc,fd_mean
289,mriqc,0.1959758218891966,mriqc,fd_mean
290,mriqc,0.0882768375352065,mriqc,fd_mean
291,mriqc,0.1992695867498768,mriqc,fd_mean
292,mriqc,0.2453063085168746,mriqc,fd_mean
293,mriqc,0.2153359749285307,mriqc,fd_mean
294,mriqc,0.2239305645898116,mriqc,fd_mean
295,mriqc,0.0819683875001985,mriqc,fd_mean
296,mriqc,0.2716762616328012,mriqc,fd_mean
297,mriqc,0.0788419370321004,mriqc,fd_mean
298,mriqc,0.2985238657779078,mriqc,fd_mean
299,mriqc,0.0844841473201797,mriqc,fd_mean
300,mriqc,0.1138065229045883,mriqc,fd_mean
301,mriqc,0.1439691061277715,mriqc,fd_mean
302,mriqc,0.1290667507266688,mriqc,fd_mean
303,mriqc,0.2111629636384425,mriqc,fd_mean
304,mriqc,0.1347286960170818,mriqc,fd_mean
305,mriqc,0.1233835192517393,mriqc,fd_mean
306,mriqc,0.1356139268390691,mriqc,fd_mean
307,mriqc,0.1662527781059203,mriqc,fd_mean
308,mriqc,0.177275371117522,mriqc,fd_mean
309,mriqc,0.2547136441883026,mriqc,fd_mean
310,mriqc,0.0775648362270825,mriqc,fd_mean
311,mriqc,0.141595050068965,mriqc,fd_mean
312,mriqc,0.1188086554941809,mriqc,fd_mean
313,mriqc,0.1843094740678572,mriqc,fd_mean
314,mriqc,0.0923360232058465,mriqc,fd_mean
315,mriqc,0.2424785059218369,mriqc,fd_mean
316,mriqc,0.2349105066708179,mriqc,fd_mean
317,mriqc,0.3235842014492956,mriqc,fd_mean
318,mriqc,0.0933067838566089,mriqc,fd_mean
319,mriqc,0.1899736731833239,mriqc,fd_mean
320,mriqc,0.2954132157218428,mriqc,fd_mean
321,mriqc,0.1051308104889359,mriqc,fd_mean
322,mriqc,0.2089862478527494,mriqc,fd_mean
323,mriqc,0.0831852988051102,mriqc,fd_mean
324,mriqc,0.1477068353247853,mriqc,fd_mean
325,mriqc,0.0993890389660061,mriqc,fd_mean
326,mriqc,0.14332028899038,mriqc,fd_mean
327,mriqc,0.0902185585376989,mriqc,fd_mean
328,mriqc,0.1074612410142941,mriqc,fd_mean
329,mriqc,0.2541205638347768,mriqc,fd_mean
330,mriqc,0.0895116035625608,mriqc,fd_mean
331,mriqc,0.1000663008728872,mriqc,fd_mean
332,mriqc,0.1744317188421206,mriqc,fd_mean
333,mriqc,0.0781572371735718,mriqc,fd_mean
334,mriqc,0.1307711183029996,mriqc,fd_mean
335,mriqc,0.0853013974863056,mriqc,fd_mean
336,mriqc,0.1339290201727014,mriqc,fd_mean
337,mriqc,0.0535505574128063,mriqc,fd_mean
338,mriqc,0.0485398185928503,mriqc,fd_mean
339,mriqc,0.0950803029833043,mriqc,fd_mean
340,mriqc,0.0588802532164575,mriqc,fd_mean
341,mriqc,0.0825014801002165,mriqc,fd_mean
342,mriqc,0.091903019336255,mriqc,fd_mean
343,mriqc,0.0611383505426563,mriqc,fd_mean
344,mriqc,0.0686238216914854,mriqc,fd_mean
345,mriqc,0.1059769481371768,mriqc,fd_mean
346,mriqc,0.0600181380070231,mriqc,fd_mean
347,mriqc,0.0772722986281378,mriqc,fd_mean
348,mriqc,0.1690083240133401,mriqc,fd_mean
349,mriqc,0.1726378920991169,mriqc,fd_mean
350,mriqc,0.0603333912072806,mriqc,fd_mean
351,mriqc,0.1320390589289703,mriqc,fd_mean
352,mriqc,0.0537676865369847,mriqc,fd_mean
353,mriqc,0.105859084791226,mriqc,fd_mean
354,mriqc,0.1880251678309426,mriqc,fd_mean
355,mriqc,0.1745794784251369,mriqc,fd_mean
356,mriqc,0.1125482229800685,mriqc,fd_mean
357,mriqc,0.2212872934276318,mriqc,fd_mean
358,mriqc,0.1471964473290526,mriqc,fd_mean
359,mriqc,0.2164437675034126,mriqc,fd_mean
360,mriqc,0.1346442948215999,mriqc,fd_mean
361,mriqc,0.2566683895516869,mriqc,fd_mean
362,mriqc,0.0936460684574309,mriqc,fd_mean
363,mriqc,0.2093550664248952,mriqc,fd_mean
364,mriqc,0.1694552977887718,mriqc,fd_mean
365,mriqc,0.2044306793274949,mriqc,fd_mean
366,mriqc,0.1601693329029447,mriqc,fd_mean
367,mriqc,0.1299793847545728,mriqc,fd_mean
368,mriqc,0.2057745208520847,mriqc,fd_mean
369,mriqc,0.1562923513880256,mriqc,fd_mean
370,mriqc,0.2089141604129744,mriqc,fd_mean
371,mriqc,0.1725420625711304,mriqc,fd_mean
372,mriqc,0.1768809453387662,mriqc,fd_mean
373,mriqc,0.1697127873461578,mriqc,fd_mean
374,mriqc,0.1420029283887541,mriqc,fd_mean
375,mriqc,0.1669638674587438,mriqc,fd_mean
376,mriqc,0.1662941076986148,mriqc,fd_mean
377,mriqc,0.1627718304252202,mriqc,fd_mean
378,mriqc,0.1020830466028906,mriqc,fd_mean
379,mriqc,0.0976783547358361,mriqc,fd_mean
380,mriqc,0.0971487518952915,mriqc,fd_mean
381,mriqc,0.1484684777413125,mriqc,fd_mean
382,mriqc,0.0988595946849667,mriqc,fd_mean
383,mriqc,0.1782650408896399,mriqc,fd_mean
384,mriqc,0.2671296560586444,mriqc,fd_mean
385,mriqc,0.1572308440777306,mriqc,fd_mean
386,mriqc,0.152751060629544,mriqc,fd_mean
387,mriqc,0.1200962799570575,mriqc,fd_mean
388,mriqc,0.1301535455137549,mriqc,fd_mean
389,mriqc,0.1633689713586387,mriqc,fd_mean
390,mriqc,0.2009001115968513,mriqc,fd_mean
391,mriqc,0.1039643198659319,mriqc,fd_mean
392,mriqc,0.2401815403106265,mriqc,fd_mean
393,mriqc,0.1161489138696964,mriqc,fd_mean
394,mriqc,0.1137048591781052,mriqc,fd_mean
395,mriqc,0.1527505839355628,mriqc,fd_mean
396,mriqc,0.2121311174249792,mriqc,fd_mean
397,mriqc,0.2017138096946064,mriqc,fd_mean
398,mriqc,0.1604624403200527,mriqc,fd_mean
399,mriqc,0.1310954209023787,mriqc,fd_mean
400,mriqc,0.148261663980179,mriqc,fd_mean
401,mriqc,0.1306805233136624,mriqc,fd_mean
402,mriqc,0.1610228077703708,mriqc,fd_mean
403,mriqc,0.1116129312178786,mriqc,fd_mean
404,mriqc,0.1064235128984868,mriqc,fd_mean
405,mriqc,0.1441827232411904,mriqc,fd_mean
406,mriqc,0.1533747352908212,mriqc,fd_mean
407,mriqc,0.1035660336787817,mriqc,fd_mean
408,mriqc,0.1118024356887631,mriqc,fd_mean
409,mriqc,0.1236197571602081,mriqc,fd_mean
410,mriqc,0.1628968969486753,mriqc,fd_mean
411,mriqc,0.1387201173380544,mriqc,fd_mean
412,mriqc,0.1091865214824111,mriqc,fd_mean
413,mriqc,0.1116539222631533,mriqc,fd_mean
414,mriqc,0.1356568141272675,mriqc,fd_mean
415,mriqc,0.09461220106588,mriqc,fd_mean
