,compare,efc,task,data type
133,mriqc,0.5360725156357855,mriqc,efc
134,mriqc,0.5379493596032398,mriqc,efc
135,mriqc,0.5371164648686907,mriqc,efc
136,mriqc,0.5365756549777185,mriqc,efc
137,mriqc,0.488826521772817,mriqc,efc
138,mriqc,0.5256804705231919,mriqc,efc
139,mriqc,0.5220992275356446,mriqc,efc
140,mriqc,0.5240987493468175,mriqc,efc
141,mriqc,0.4888682797421332,mriqc,efc
142,mriqc,0.5263271666935017,mriqc,efc
143,mriqc,0.4897048200136861,mriqc,efc
144,mriqc,0.5612862094976305,mriqc,efc
145,mriqc,0.562566179633827,mriqc,efc
146,mriqc,0.5597692794561874,mriqc,efc
147,mriqc,0.5440018776348939,mriqc,efc
148,mriqc,0.5408580954478668,mriqc,efc
149,mriqc,0.6107588281222252,mriqc,efc
150,mriqc,0.6041914064204625,mriqc,efc
151,mriqc,0.5372955065122286,mriqc,efc
152,mriqc,0.6082753649191023,mriqc,efc
153,mriqc,0.543223482566684,mriqc,efc
154,mriqc,0.6120954432118734,mriqc,efc
155,mriqc,0.5433845938017515,mriqc,efc
156,mriqc,0.613141429301347,mriqc,efc
157,mriqc,0.5322502922089682,mriqc,efc
158,mriqc,0.5471760678925192,mriqc,efc
159,mriqc,0.5334423916546213,mriqc,efc
160,mriqc,0.5568940749428665,mriqc,efc
161,mriqc,0.5749939378058372,mriqc,efc
162,mriqc,0.5474689130741102,mriqc,efc
163,mriqc,0.5872995685858817,mriqc,efc
164,mriqc,0.5469004367712329,mriqc,efc
165,mriqc,0.5327006408884372,mriqc,efc
166,mriqc,0.5485623666771786,mriqc,efc
167,mriqc,0.5462105858814765,mriqc,efc
168,mriqc,0.5856583058601222,mriqc,efc
169,mriqc,0.5823080064885412,mriqc,efc
170,mriqc,0.5799231891280029,mriqc,efc
171,mriqc,0.5830081136597366,mriqc,efc
172,mriqc,0.5437977827881674,mriqc,efc
173,mriqc,0.5992781322201366,mriqc,efc
174,mriqc,0.5881545507607169,mriqc,efc
175,mriqc,0.5868188633749174,mriqc,efc
176,mriqc,0.5969785605354785,mriqc,efc
177,mriqc,0.546348349903017,mriqc,efc
178,mriqc,0.5834633585539628,mriqc,efc
