,compare,gsr_y,task,data type
118,mriqc,0.0301695596426725,mriqc,gsr_y
119,mriqc,0.0297631751745939,mriqc,gsr_y
120,mriqc,0.0345175638794899,mriqc,gsr_y
121,mriqc,0.0347842797636985,mriqc,gsr_y
122,mriqc,0.0280976183712482,mriqc,gsr_y
123,mriqc,0.0300954412668943,mriqc,gsr_y
124,mriqc,0.027699664235115,mriqc,gsr_y
125,mriqc,0.0184524934738874,mriqc,gsr_y
126,mriqc,0.0287198480218648,mriqc,gsr_y
127,mriqc,0.0186225697398185,mriqc,gsr_y
128,mriqc,0.0186853948980569,mriqc,gsr_y
129,mriqc,0.0188835877925157,mriqc,gsr_y
130,mriqc,0.018918290734291,mriqc,gsr_y
131,mriqc,0.0276898946613073,mriqc,gsr_y
132,mriqc,0.0193397123366594,mriqc,gsr_y
133,mriqc,0.0268553793430328,mriqc,gsr_y
134,mriqc,0.0244161672890186,mriqc,gsr_y
135,mriqc,0.0241771154105663,mriqc,gsr_y
136,mriqc,0.0239312481135129,mriqc,gsr_y
137,mriqc,0.0192965250462293,mriqc,gsr_y
138,mriqc,0.0074853342957794,mriqc,gsr_y
139,mriqc,0.0089480644091963,mriqc,gsr_y
140,mriqc,0.0096391309052705,mriqc,gsr_y
141,mriqc,0.0169488992542028,mriqc,gsr_y
142,mriqc,0.0082765938714146,mriqc,gsr_y
143,mriqc,0.0189082119613885,mriqc,gsr_y
144,mriqc,0.0338024385273456,mriqc,gsr_y
145,mriqc,0.0344286598265171,mriqc,gsr_y
146,mriqc,0.0317997559905052,mriqc,gsr_y
147,mriqc,0.0451987646520137,mriqc,gsr_y
148,mriqc,0.044864647090435,mriqc,gsr_y
149,mriqc,0.0677212253212928,mriqc,gsr_y
150,mriqc,0.0692769512534141,mriqc,gsr_y
151,mriqc,0.0474984869360923,mriqc,gsr_y
152,mriqc,0.0683009922504425,mriqc,gsr_y
153,mriqc,0.0428970456123352,mriqc,gsr_y
154,mriqc,0.0650608167052269,mriqc,gsr_y
155,mriqc,0.0424498841166496,mriqc,gsr_y
156,mriqc,0.0648160800337791,mriqc,gsr_y
157,mriqc,0.0605114735662937,mriqc,gsr_y
158,mriqc,0.0409531034529209,mriqc,gsr_y
159,mriqc,0.0435275174677372,mriqc,gsr_y
160,mriqc,0.0533208176493644,mriqc,gsr_y
161,mriqc,0.0768217667937278,mriqc,gsr_y
162,mriqc,0.0582923740148544,mriqc,gsr_y
163,mriqc,0.0720982179045677,mriqc,gsr_y
164,mriqc,0.0555613040924072,mriqc,gsr_y
165,mriqc,0.0485001951456069,mriqc,gsr_y
166,mriqc,0.0547948293387889,mriqc,gsr_y
167,mriqc,0.0533644706010818,mriqc,gsr_y
168,mriqc,0.06265190243721,mriqc,gsr_y
169,mriqc,0.0709020793437957,mriqc,gsr_y
170,mriqc,0.0465176962316036,mriqc,gsr_y
171,mriqc,0.0665304288268089,mriqc,gsr_y
172,mriqc,0.0409063026309013,mriqc,gsr_y
173,mriqc,0.0709942653775215,mriqc,gsr_y
174,mriqc,0.0466866455972194,mriqc,gsr_y
175,mriqc,0.0798932015895843,mriqc,gsr_y
176,mriqc,0.0661793872714042,mriqc,gsr_y
177,mriqc,0.0537822172045707,mriqc,gsr_y
178,mriqc,0.0666869208216667,mriqc,gsr_y
179,mriqc,0.0543742664158344,mriqc,gsr_y
180,mriqc,0.0443140938878059,mriqc,gsr_y
181,mriqc,0.0590797737240791,mriqc,gsr_y
182,mriqc,0.041218101978302,mriqc,gsr_y
183,mriqc,0.0411098934710025,mriqc,gsr_y
184,mriqc,0.0552490800619125,mriqc,gsr_y
185,mriqc,0.0467310808598995,mriqc,gsr_y
186,mriqc,0.0696394890546798,mriqc,gsr_y
187,mriqc,0.0614389292895793,mriqc,gsr_y
188,mriqc,0.0524240024387836,mriqc,gsr_y
189,mriqc,0.0450193546712398,mriqc,gsr_y
190,mriqc,0.0528877675533294,mriqc,gsr_y
191,mriqc,0.0456450618803501,mriqc,gsr_y
192,mriqc,0.0514864027500152,mriqc,gsr_y
193,mriqc,0.07493457198143,mriqc,gsr_y
194,mriqc,0.040128543972969,mriqc,gsr_y
195,mriqc,0.049309492111206,mriqc,gsr_y
196,mriqc,0.0450423806905746,mriqc,gsr_y
197,mriqc,0.0630421936511993,mriqc,gsr_y
198,mriqc,0.0445380061864852,mriqc,gsr_y
199,mriqc,0.0502858012914657,mriqc,gsr_y
200,mriqc,0.0538192801177501,mriqc,gsr_y
201,mriqc,0.0594716630876064,mriqc,gsr_y
202,mriqc,0.0644506737589836,mriqc,gsr_y
203,mriqc,0.0467170402407646,mriqc,gsr_y
204,mriqc,0.0759026706218719,mriqc,gsr_y
205,mriqc,0.0661639645695686,mriqc,gsr_y
206,mriqc,0.0542217344045639,mriqc,gsr_y
207,mriqc,0.0683203414082527,mriqc,gsr_y
208,mriqc,0.0440945141017437,mriqc,gsr_y
209,mriqc,0.0667624473571777,mriqc,gsr_y
210,mriqc,0.0574492774903774,mriqc,gsr_y
211,mriqc,0.0679981559514999,mriqc,gsr_y
212,mriqc,0.0741713568568229,mriqc,gsr_y
213,mriqc,0.0414823926985263,mriqc,gsr_y
214,mriqc,0.0665883421897888,mriqc,gsr_y
215,mriqc,0.042001374065876,mriqc,gsr_y
216,mriqc,0.0430415086448192,mriqc,gsr_y
217,mriqc,0.0614061690866947,mriqc,gsr_y
218,mriqc,0.055025964975357,mriqc,gsr_y
219,mriqc,0.0564262792468071,mriqc,gsr_y
220,mriqc,0.0633319243788719,mriqc,gsr_y
221,mriqc,0.0437272116541862,mriqc,gsr_y
222,mriqc,0.0436075441539287,mriqc,gsr_y
223,mriqc,0.0418158881366252,mriqc,gsr_y
224,mriqc,0.0429728217422962,mriqc,gsr_y
225,mriqc,0.047222763299942,mriqc,gsr_y
226,mriqc,0.0375318489968776,mriqc,gsr_y
227,mriqc,0.0459628887474536,mriqc,gsr_y
228,mriqc,0.05357651039958,mriqc,gsr_y
229,mriqc,0.0573935508728027,mriqc,gsr_y
230,mriqc,0.0435695573687553,mriqc,gsr_y
231,mriqc,0.0421282164752483,mriqc,gsr_y
232,mriqc,0.0441992469131946,mriqc,gsr_y
233,mriqc,0.0712958872318267,mriqc,gsr_y
234,mriqc,0.0380394496023654,mriqc,gsr_y
235,mriqc,0.0447048842906951,mriqc,gsr_y
236,mriqc,0.038009688258171,mriqc,gsr_y
237,mriqc,0.0423413142561912,mriqc,gsr_y
238,mriqc,0.0561091490089893,mriqc,gsr_y
239,mriqc,0.0414791293442249,mriqc,gsr_y
240,mriqc,0.0524147264659404,mriqc,gsr_y
241,mriqc,0.061574138700962,mriqc,gsr_y
242,mriqc,0.0335296727716922,mriqc,gsr_y
243,mriqc,0.0415360480546951,mriqc,gsr_y
244,mriqc,0.0388821177184581,mriqc,gsr_y
245,mriqc,0.0496928505599498,mriqc,gsr_y
246,mriqc,0.0387626960873603,mriqc,gsr_y
247,mriqc,0.0296159349381923,mriqc,gsr_y
248,mriqc,0.032408844679594,mriqc,gsr_y
249,mriqc,0.0720393508672714,mriqc,gsr_y
250,mriqc,0.045609388500452,mriqc,gsr_y
251,mriqc,0.0479525215923786,mriqc,gsr_y
252,mriqc,0.0664210617542266,mriqc,gsr_y
253,mriqc,0.0255580991506576,mriqc,gsr_y
254,mriqc,0.0568826384842395,mriqc,gsr_y
255,mriqc,0.0488660410046577,mriqc,gsr_y
256,mriqc,0.0521650090813636,mriqc,gsr_y
257,mriqc,0.026503263041377,mriqc,gsr_y
258,mriqc,0.0446292273700237,mriqc,gsr_y
259,mriqc,0.0698194727301597,mriqc,gsr_y
260,mriqc,0.0549221634864807,mriqc,gsr_y
261,mriqc,0.0669239088892936,mriqc,gsr_y
262,mriqc,0.0505412109196186,mriqc,gsr_y
263,mriqc,0.0562433339655399,mriqc,gsr_y
264,mriqc,0.0563443824648857,mriqc,gsr_y
265,mriqc,0.0385304316878318,mriqc,gsr_y
266,mriqc,0.0621241442859172,mriqc,gsr_y
267,mriqc,0.0384931303560733,mriqc,gsr_y
268,mriqc,0.055162463337183,mriqc,gsr_y
269,mriqc,0.0518075004220008,mriqc,gsr_y
270,mriqc,0.0625289380550384,mriqc,gsr_y
271,mriqc,0.0750445201992988,mriqc,gsr_y
272,mriqc,0.044493731111288,mriqc,gsr_y
273,mriqc,0.0545741654932498,mriqc,gsr_y
274,mriqc,0.0558270625770092,mriqc,gsr_y
275,mriqc,0.0417895652353763,mriqc,gsr_y
276,mriqc,0.0521162673830986,mriqc,gsr_y
277,mriqc,0.0482312180101871,mriqc,gsr_y
278,mriqc,0.0409380123019218,mriqc,gsr_y
279,mriqc,0.0667426884174346,mriqc,gsr_y
280,mriqc,0.0450613871216774,mriqc,gsr_y
281,mriqc,0.0650526136159896,mriqc,gsr_y
282,mriqc,0.0706865042448043,mriqc,gsr_y
