,compare,aor,task,data type
136,mriqc,0.0009316333333333,mriqc,aor
137,mriqc,0.0013555333333333,mriqc,aor
138,mriqc,0.0005184666666666,mriqc,aor
139,mriqc,0.0006469,mriqc,aor
140,mriqc,0.0005327666666666,mriqc,aor
141,mriqc,0.0026659333333333,mriqc,aor
142,mriqc,0.0010850666666666,mriqc,aor
143,mriqc,0.0016822999999999,mriqc,aor
144,mriqc,0.0015520333333333,mriqc,aor
145,mriqc,0.0005526333333333,mriqc,aor
146,mriqc,0.0004006,mriqc,aor
147,mriqc,0.0026926168224299,mriqc,aor
148,mriqc,0.0008905140186915,mriqc,aor
149,mriqc,0.0027313084112149,mriqc,aor
150,mriqc,0.0010958878504672,mriqc,aor
151,mriqc,0.0026109813084112,mriqc,aor
152,mriqc,0.0019744392523364,mriqc,aor
153,mriqc,0.0042863524590163,mriqc,aor
154,mriqc,0.0030292213114754,mriqc,aor
155,mriqc,0.0025890983606557,mriqc,aor
156,mriqc,0.0019822540983606,mriqc,aor
157,mriqc,0.0006079439252336,mriqc,aor
158,mriqc,0.0123030841121495,mriqc,aor
159,mriqc,0.0031560747663551,mriqc,aor
160,mriqc,0.0007382242990654,mriqc,aor
161,mriqc,0.0025450934579439,mriqc,aor
162,mriqc,0.0006284112149532,mriqc,aor
163,mriqc,0.0024904672897196,mriqc,aor
164,mriqc,0.0007865420560747,mriqc,aor
165,mriqc,0.0008130373831775,mriqc,aor
166,mriqc,0.0003458411214953,mriqc,aor
167,mriqc,0.0004587704918032,mriqc,aor
168,mriqc,0.0004989252336448,mriqc,aor
169,mriqc,0.00373,mriqc,aor
170,mriqc,0.0005378037383177,mriqc,aor
171,mriqc,0.0016044262295081,mriqc,aor
172,mriqc,0.0021042056074766,mriqc,aor
173,mriqc,0.0031652803738317,mriqc,aor
174,mriqc,0.0007252803738317,mriqc,aor
175,mriqc,0.0009079439252336,mriqc,aor
176,mriqc,0.0023068691588785,mriqc,aor
177,mriqc,0.0003670081967213,mriqc,aor
178,mriqc,0.0107928278688524,mriqc,aor
179,mriqc,0.000399906542056,mriqc,aor
180,mriqc,0.0020861214953271,mriqc,aor
181,mriqc,0.0006742523364485,mriqc,aor
182,mriqc,0.0044981967213114,mriqc,aor
183,mriqc,0.0075451639344262,mriqc,aor
184,mriqc,0.0017348130841121,mriqc,aor
185,mriqc,0.0011797663551401,mriqc,aor
186,mriqc,0.0025817622950819,mriqc,aor
187,mriqc,0.0007084761904761,mriqc,aor
188,mriqc,0.0024397663551401,mriqc,aor
189,mriqc,0.0041851869158878,mriqc,aor
190,mriqc,0.0009287295081967,mriqc,aor
191,mriqc,0.00396,mriqc,aor
192,mriqc,0.0011415887850467,mriqc,aor
193,mriqc,0.001773644859813,mriqc,aor
194,mriqc,0.0086706147540983,mriqc,aor
195,mriqc,0.000524906542056,mriqc,aor
196,mriqc,0.0041407009345794,mriqc,aor
197,mriqc,0.0006839999999999,mriqc,aor
198,mriqc,0.0090266822429906,mriqc,aor
199,mriqc,0.0027041121495327,mriqc,aor
200,mriqc,0.0009453738317757,mriqc,aor
201,mriqc,0.0006514018691588,mriqc,aor
202,mriqc,0.0006594859813084,mriqc,aor
203,mriqc,0.0015781308411214,mriqc,aor
204,mriqc,0.0030784112149532,mriqc,aor
205,mriqc,0.005097429906542,mriqc,aor
206,mriqc,0.0006256557377049,mriqc,aor
207,mriqc,0.0064690654205607,mriqc,aor
208,mriqc,0.0029890666666666,mriqc,aor
209,mriqc,0.0113783177570093,mriqc,aor
210,mriqc,0.0016566822429906,mriqc,aor
211,mriqc,0.0121656074766355,mriqc,aor
212,mriqc,0.0011775819672131,mriqc,aor
213,mriqc,0.0009277142857142,mriqc,aor
214,mriqc,0.005023691588785,mriqc,aor
215,mriqc,0.0006948598130841,mriqc,aor
216,mriqc,0.0127567213114754,mriqc,aor
217,mriqc,0.0062307786885245,mriqc,aor
218,mriqc,0.0024745901639344,mriqc,aor
219,mriqc,0.0077327049180327,mriqc,aor
220,mriqc,0.0022482786885245,mriqc,aor
221,mriqc,0.0138548360655737,mriqc,aor
222,mriqc,0.000784953271028,mriqc,aor
223,mriqc,0.0072848360655737,mriqc,aor
224,mriqc,0.0015518951612903,mriqc,aor
225,mriqc,0.0015058196721311,mriqc,aor
226,mriqc,0.001280619047619,mriqc,aor
227,mriqc,0.0050424285714285,mriqc,aor
228,mriqc,0.005028975409836,mriqc,aor
229,mriqc,0.0012527868852459,mriqc,aor
230,mriqc,0.0007947142857142,mriqc,aor
231,mriqc,0.0016305238095238,mriqc,aor
232,mriqc,0.0006623360655737,mriqc,aor
233,mriqc,0.0050579918032786,mriqc,aor
234,mriqc,0.0083081557377049,mriqc,aor
235,mriqc,0.0010267622950819,mriqc,aor
236,mriqc,0.0051284836065573,mriqc,aor
237,mriqc,0.001650564516129,mriqc,aor
238,mriqc,0.0018795081967213,mriqc,aor
239,mriqc,0.0012178095238095,mriqc,aor
240,mriqc,0.0048015238095238,mriqc,aor
241,mriqc,0.004891844262295,mriqc,aor
242,mriqc,0.001453238095238,mriqc,aor
243,mriqc,0.0045190983606557,mriqc,aor
244,mriqc,0.0058578278688524,mriqc,aor
245,mriqc,0.0020383809523809,mriqc,aor
246,mriqc,0.0003943809523809,mriqc,aor
247,mriqc,0.0046490476190476,mriqc,aor
248,mriqc,0.0008792857142857,mriqc,aor
249,mriqc,0.0028922540983606,mriqc,aor
250,mriqc,0.0030346666666666,mriqc,aor
251,mriqc,0.0073643333333333,mriqc,aor
252,mriqc,0.0121552049180327,mriqc,aor
253,mriqc,0.0043073333333333,mriqc,aor
254,mriqc,0.0003242962962962,mriqc,aor
255,mriqc,0.000615737704918,mriqc,aor
256,mriqc,0.0031038571428571,mriqc,aor
257,mriqc,0.0028225714285714,mriqc,aor
258,mriqc,0.0025826296296296,mriqc,aor
259,mriqc,0.0083109426229508,mriqc,aor
260,mriqc,0.0011727049180327,mriqc,aor
261,mriqc,0.008712213114754,mriqc,aor
262,mriqc,0.0039601666666666,mriqc,aor
263,mriqc,0.0019551111111111,mriqc,aor
264,mriqc,0.0004418148148148,mriqc,aor
265,mriqc,0.0046929508196721,mriqc,aor
266,mriqc,0.0076629918032786,mriqc,aor
267,mriqc,0.0029605737704918,mriqc,aor
268,mriqc,0.0091487295081967,mriqc,aor
269,mriqc,0.0134240833333333,mriqc,aor
270,mriqc,0.0004287777777777,mriqc,aor
271,mriqc,0.000666074074074,mriqc,aor
272,mriqc,0.0040675,mriqc,aor
273,mriqc,0.0015634016393442,mriqc,aor
274,mriqc,0.0004298888888888,mriqc,aor
275,mriqc,0.0062127083333333,mriqc,aor
276,mriqc,0.0004055925925925,mriqc,aor
277,mriqc,0.001207074074074,mriqc,aor
278,mriqc,0.0016608518518518,mriqc,aor
279,mriqc,0.0016308518518518,mriqc,aor
280,mriqc,0.0010676296296296,mriqc,aor
