,compare,gcor,task,data type
145,mriqc,0.0184341,mriqc,gcor
146,mriqc,0.00904591,mriqc,gcor
147,mriqc,0.0325596,mriqc,gcor
148,mriqc,0.051573,mriqc,gcor
149,mriqc,0.0199226,mriqc,gcor
150,mriqc,0.027706,mriqc,gcor
151,mriqc,0.0310915,mriqc,gcor
152,mriqc,0.0271666,mriqc,gcor
153,mriqc,0.0312827,mriqc,gcor
154,mriqc,0.031124,mriqc,gcor
155,mriqc,0.0298716,mriqc,gcor
156,mriqc,0.036843,mriqc,gcor
157,mriqc,0.0148946,mriqc,gcor
158,mriqc,0.0220188,mriqc,gcor
159,mriqc,0.065816,mriqc,gcor
160,mriqc,0.0465864,mriqc,gcor
161,mriqc,0.0374862,mriqc,gcor
162,mriqc,0.0171405,mriqc,gcor
163,mriqc,0.0208802,mriqc,gcor
164,mriqc,0.0361763,mriqc,gcor
165,mriqc,0.0532352,mriqc,gcor
166,mriqc,0.0382006,mriqc,gcor
167,mriqc,0.0152044,mriqc,gcor
168,mriqc,0.0333461,mriqc,gcor
169,mriqc,0.0225891,mriqc,gcor
170,mriqc,0.0359791,mriqc,gcor
171,mriqc,0.0106701,mriqc,gcor
172,mriqc,0.0396101,mriqc,gcor
173,mriqc,0.0345963,mriqc,gcor
174,mriqc,0.026577,mriqc,gcor
175,mriqc,0.0479977,mriqc,gcor
176,mriqc,0.0524195,mriqc,gcor
177,mriqc,0.0198073,mriqc,gcor
178,mriqc,0.017489,mriqc,gcor
179,mriqc,0.0328072,mriqc,gcor
180,mriqc,0.0500249,mriqc,gcor
181,mriqc,0.0598408,mriqc,gcor
182,mriqc,0.047794,mriqc,gcor
183,mriqc,0.0493643,mriqc,gcor
184,mriqc,0.0309992,mriqc,gcor
185,mriqc,0.0431027,mriqc,gcor
186,mriqc,0.0315579,mriqc,gcor
187,mriqc,0.0292862,mriqc,gcor
188,mriqc,0.0292339,mriqc,gcor
189,mriqc,0.0356059,mriqc,gcor
190,mriqc,0.0180874,mriqc,gcor
191,mriqc,0.0285121,mriqc,gcor
192,mriqc,0.048738,mriqc,gcor
193,mriqc,0.044061,mriqc,gcor
194,mriqc,0.0412014,mriqc,gcor
195,mriqc,0.0420686,mriqc,gcor
196,mriqc,0.0403148,mriqc,gcor
197,mriqc,0.0274204,mriqc,gcor
198,mriqc,0.0255423,mriqc,gcor
199,mriqc,0.0305009,mriqc,gcor
200,mriqc,0.0461843,mriqc,gcor
201,mriqc,0.0477557,mriqc,gcor
202,mriqc,0.0486473,mriqc,gcor
203,mriqc,0.0205605,mriqc,gcor
204,mriqc,0.0270161,mriqc,gcor
205,mriqc,0.0327776,mriqc,gcor
206,mriqc,0.0263845,mriqc,gcor
207,mriqc,0.0586591,mriqc,gcor
208,mriqc,0.0243762,mriqc,gcor
209,mriqc,0.0708146,mriqc,gcor
210,mriqc,0.0519566,mriqc,gcor
211,mriqc,0.068179,mriqc,gcor
212,mriqc,0.028814,mriqc,gcor
213,mriqc,0.0454257,mriqc,gcor
214,mriqc,0.0106628,mriqc,gcor
215,mriqc,0.0475105,mriqc,gcor
216,mriqc,0.012077,mriqc,gcor
217,mriqc,0.0279724,mriqc,gcor
218,mriqc,0.0400787,mriqc,gcor
219,mriqc,0.043292,mriqc,gcor
220,mriqc,0.011561,mriqc,gcor
221,mriqc,0.0228713,mriqc,gcor
222,mriqc,0.0466366,mriqc,gcor
223,mriqc,0.0219861,mriqc,gcor
224,mriqc,0.0202248,mriqc,gcor
225,mriqc,0.0240234,mriqc,gcor
226,mriqc,0.023513,mriqc,gcor
227,mriqc,0.0193513,mriqc,gcor
228,mriqc,0.0291455,mriqc,gcor
229,mriqc,0.0360789,mriqc,gcor
230,mriqc,0.0232074,mriqc,gcor
231,mriqc,0.0252532,mriqc,gcor
232,mriqc,0.0349452,mriqc,gcor
233,mriqc,0.0352861,mriqc,gcor
234,mriqc,0.044692,mriqc,gcor
235,mriqc,0.0360543,mriqc,gcor
236,mriqc,0.0373756,mriqc,gcor
237,mriqc,0.0324008,mriqc,gcor
238,mriqc,0.0388831,mriqc,gcor
239,mriqc,0.0240622,mriqc,gcor
240,mriqc,0.0377563,mriqc,gcor
241,mriqc,0.0309597,mriqc,gcor
242,mriqc,0.0163056,mriqc,gcor
243,mriqc,0.0329612,mriqc,gcor
244,mriqc,0.024811,mriqc,gcor
245,mriqc,0.0344295,mriqc,gcor
246,mriqc,0.0277068,mriqc,gcor
247,mriqc,0.0325856,mriqc,gcor
248,mriqc,0.0138296,mriqc,gcor
249,mriqc,0.0210638,mriqc,gcor
250,mriqc,0.0368268,mriqc,gcor
251,mriqc,0.0400359,mriqc,gcor
252,mriqc,0.0454858,mriqc,gcor
253,mriqc,0.0442766,mriqc,gcor
254,mriqc,0.0564416,mriqc,gcor
255,mriqc,0.0389003,mriqc,gcor
256,mriqc,0.0288347,mriqc,gcor
257,mriqc,0.0226234,mriqc,gcor
258,mriqc,0.0538157,mriqc,gcor
259,mriqc,0.0472654,mriqc,gcor
260,mriqc,0.0372637,mriqc,gcor
261,mriqc,0.0557665,mriqc,gcor
262,mriqc,0.0237218,mriqc,gcor
263,mriqc,0.00625121,mriqc,gcor
264,mriqc,0.00484026,mriqc,gcor
265,mriqc,0.0343915,mriqc,gcor
266,mriqc,0.0363677,mriqc,gcor
267,mriqc,0.0400406,mriqc,gcor
268,mriqc,0.0142461,mriqc,gcor
269,mriqc,0.0248076,mriqc,gcor
270,mriqc,0.0187108,mriqc,gcor
271,mriqc,0.0380212,mriqc,gcor
272,mriqc,0.032066,mriqc,gcor
273,mriqc,0.0459362,mriqc,gcor
274,mriqc,0.0615575,mriqc,gcor
275,mriqc,0.0116233,mriqc,gcor
276,mriqc,0.0333869,mriqc,gcor
277,mriqc,0.0568762,mriqc,gcor
278,mriqc,0.0252051,mriqc,gcor
279,mriqc,0.0298705,mriqc,gcor
280,mriqc,0.0155141,mriqc,gcor
281,mriqc,0.0212436,mriqc,gcor
282,mriqc,0.0235287,mriqc,gcor
283,mriqc,0.0221138,mriqc,gcor
284,mriqc,0.015404,mriqc,gcor
285,mriqc,0.0472432,mriqc,gcor
286,mriqc,0.0146604,mriqc,gcor
287,mriqc,0.0264875,mriqc,gcor
288,mriqc,0.0123112,mriqc,gcor
289,mriqc,0.025355,mriqc,gcor
290,mriqc,0.0289148,mriqc,gcor
291,mriqc,0.0183366,mriqc,gcor
292,mriqc,0.0239926,mriqc,gcor
293,mriqc,0.0166655,mriqc,gcor
294,mriqc,0.0227779,mriqc,gcor
295,mriqc,0.013637,mriqc,gcor
296,mriqc,0.00845387,mriqc,gcor
297,mriqc,0.0152375,mriqc,gcor
298,mriqc,0.0297813,mriqc,gcor
299,mriqc,0.0261243,mriqc,gcor
300,mriqc,0.0158862,mriqc,gcor
301,mriqc,0.0314932,mriqc,gcor
302,mriqc,0.0588948,mriqc,gcor
303,mriqc,0.019144,mriqc,gcor
304,mriqc,0.0284361,mriqc,gcor
305,mriqc,0.0185694,mriqc,gcor
306,mriqc,0.0309935,mriqc,gcor
307,mriqc,0.0217285,mriqc,gcor
308,mriqc,0.0385407,mriqc,gcor
309,mriqc,0.0141478,mriqc,gcor
310,mriqc,0.0170655,mriqc,gcor
311,mriqc,0.0231344,mriqc,gcor
312,mriqc,0.0261229,mriqc,gcor
313,mriqc,0.0394335,mriqc,gcor
314,mriqc,0.0126011,mriqc,gcor
315,mriqc,0.0349635,mriqc,gcor
316,mriqc,0.017266,mriqc,gcor
317,mriqc,0.0160857,mriqc,gcor
318,mriqc,0.0415732,mriqc,gcor
319,mriqc,0.0569206,mriqc,gcor
320,mriqc,0.0105583,mriqc,gcor
321,mriqc,0.0283523,mriqc,gcor
322,mriqc,0.042596,mriqc,gcor
323,mriqc,0.0307017,mriqc,gcor
324,mriqc,0.0755488,mriqc,gcor
325,mriqc,0.0237912,mriqc,gcor
326,mriqc,0.021677,mriqc,gcor
327,mriqc,0.0137673,mriqc,gcor
328,mriqc,0.0378161,mriqc,gcor
329,mriqc,0.0166253,mriqc,gcor
330,mriqc,0.0146357,mriqc,gcor
331,mriqc,0.0217467,mriqc,gcor
332,mriqc,0.0459087,mriqc,gcor
333,mriqc,0.0261098,mriqc,gcor
334,mriqc,0.0578709,mriqc,gcor
335,mriqc,0.033563,mriqc,gcor
336,mriqc,0.0296633,mriqc,gcor
337,mriqc,0.0177205,mriqc,gcor
338,mriqc,0.0274472,mriqc,gcor
339,mriqc,0.0177583,mriqc,gcor
340,mriqc,0.0328606,mriqc,gcor
341,mriqc,0.038801,mriqc,gcor
342,mriqc,0.0424683,mriqc,gcor
343,mriqc,0.0200994,mriqc,gcor
344,mriqc,0.018383,mriqc,gcor
345,mriqc,0.0296955,mriqc,gcor
346,mriqc,0.0258439,mriqc,gcor
347,mriqc,0.0422875,mriqc,gcor
348,mriqc,0.0319034,mriqc,gcor
349,mriqc,0.0202678,mriqc,gcor
350,mriqc,0.023543,mriqc,gcor
351,mriqc,0.0452006,mriqc,gcor
352,mriqc,0.0124205,mriqc,gcor
353,mriqc,0.0475742,mriqc,gcor
354,mriqc,0.113287,mriqc,gcor
355,mriqc,0.0262567,mriqc,gcor
356,mriqc,0.0488718,mriqc,gcor
357,mriqc,0.0724191,mriqc,gcor
358,mriqc,0.0439528,mriqc,gcor
359,mriqc,0.0437023,mriqc,gcor
360,mriqc,0.0311498,mriqc,gcor
